Date ,OPEN ,HIGH ,LOW ,close ,VOLUME 
10/10/2023,1483.9,1497,1469.1,1495.15,5688951
11/10/2023,1497,1518.25,1481.45,1494.4,7220129
12/10/2023,1491.9,1504.4,1452,1465.5,11081662
13/10/2023,1405,1438,1400,1431.15,17973439
16/10/2023,1432.1,1443.6,1430,1434.15,4850745
17/10/2023,1440.25,1453.35,1438.05,1442.45,3923764
18/10/2023,1442,1454,1438.35,1440.55,4264837
19/10/2023,1426.1,1439.65,1426.1,1433.65,6795691
20/10/2023,1430,1438.5,1425.25,1427.25,3928622
23/10/2023,1425.6,1432.35,1405.25,1408.65,2636516
25/10/2023,1399,1402.55,1361.3,1370.05,6940777
26/10/2023,1355.05,1374,1353.1,1359.45,6357656
27/10/2023,1363.65,1385,1363.65,1380.35,4634358
30/10/2023,1380.35,1380.35,1363.1,1377.05,2667696
31/10/2023,1379.95,1381.15,1363,1368.4,3451595
01/11/2023,1373.05,1377.45,1351.65,1354.15,3090672
02/11/2023,1370,1376.3,1361.65,1370.15,3758060
03/11/2023,1380.05,1392,1377.75,1389.05,3349045
06/11/2023,1393.9,1407.25,1390.8,1403.3,2736381
07/11/2023,1400,1405.9,1394.85,1404.3,2272209
08/11/2023,1405,1405,1386.45,1391,3550635
09/11/2023,1395.9,1397.5,1370.05,1374.8,5498051
10/11/2023,1369.95,1373.15,1361,1368.85,2943649
12/11/2023,1380.05,1389.1,1380.05,1388.2,572298
13/11/2023,1379.85,1382.45,1370.85,1373.55,3462092
15/11/2023,1399,1414,1393,1410.5,8551860
16/11/2023,1416.1,1453.4,1410.6,1444.9,6673907
17/11/2023,1441.05,1451,1435.05,1437.55,4901251
20/11/2023,1442,1452,1433.65,1436.6,3584210
21/11/2023,1442,1450,1436.75,1439,3793135
22/11/2023,1436.2,1458.95,1436.2,1457.8,3108786
23/11/2023,1467.9,1467.9,1447.7,1449.25,3186928
24/11/2023,1445.55,1452.65,1433.85,1437.4,2973195
28/11/2023,1444,1445,1427.05,1442.7,3755373
29/11/2023,1451.1,1460.7,1449.8,1459.6,3875778
30/11/2023,1453.25,1460.65,1449.55,1455.15,10120867
01/12/2023,1459.9,1459.9,1446.15,1452.3,3489187
04/12/2023,1460.45,1471.9,1449.3,1464.35,5511948
05/12/2023,1465.8,1466.9,1442,1453.95,5123039
06/12/2023,1456.75,1477,1451.05,1474.3,5269178
07/12/2023,1472.85,1472.85,1461.8,1465.9,4424453
08/12/2023,1470.4,1494.7,1466.25,1491.15,6323433
11/12/2023,1490,1498,1482,1488.5,3862018
12/12/2023,1477.5,1490,1467.65,1476.05,6103494
13/12/2023,1476,1476.05,1433.15,1449,8549258
14/12/2023,1463.4,1511,1461.35,1501.45,12489858
15/12/2023,1523.05,1588.55,1521,1578.4,18395389
18/12/2023,1567.95,1593,1560.3,1564.35,6467243
19/12/2023,1570.1,1573.95,1543.25,1558.3,4221721
20/12/2023,1565.05,1583.5,1530,1536.4,6592367
21/12/2023,1521.25,1546.65,1521.25,1536,5319038
22/12/2023,1534.95,1566,1523,1562.9,6741060
26/12/2023,1535,1548,1523,1543.95,6878067
27/12/2023,1544,1570,1544,1567.1,4225849
28/12/2023,1568.95,1568.95,1555,1562.65,5702253
29/12/2023,1541.05,1559.45,1540,1542.9,4388990
01/01/2024,1539,1557,1535.25,1551.35,2808451
02/01/2024,1546,1549.15,1523,1534.4,5396313
03/01/2024,1519.95,1519.95,1488,1490,7550363
04/01/2024,1504.95,1519.75,1492.9,1512.7,7056038
05/01/2024,1506.75,1539.7,1506.25,1532.55,8895403
08/01/2024,1528.95,1536,1513.25,1522.8,4440136
09/01/2024,1541.9,1553,1525.85,1529.3,4412074
10/01/2024,1524.95,1535.45,1505,1519.9,4096845
11/01/2024,1524.9,1525,1486.6,1494.2,11296088
12/01/2024,1562,1618,1555.4,1612.75,26754401
15/01/2024,1644.95,1664.95,1636,1652.1,13228305
16/01/2024,1644.8,1648.5,1625,1631.55,6500917
17/01/2024,1620.25,1647.5,1620.25,1640.2,9209876
18/01/2024,1642.65,1649,1628.25,1642.6,6375464
19/01/2024,1651.6,1665.5,1644.15,1659.2,4522736
20/01/2024,1665.55,1669.25,1645,1648.85,1158144
23/01/2024,1650.1,1674.7,1637.7,1642.15,9401255
24/01/2024,1659.9,1680,1645,1675.4,8999681
25/01/2024,1672.95,1680.55,1658,1669.1,8865304
29/01/2024,1665.15,1679.35,1647.6,1656.6,4253785
30/01/2024,1662.45,1690,1648.25,1651.45,4995943
31/01/2024,1648.25,1667.25,1638.1,1660.9,6763779
01/02/2024,1659.55,1677,1650.35,1657.05,5760011
02/02/2024,1666.05,1718.5,1665,1693.35,7858483
05/02/2024,1694.75,1700.75,1681.85,1687.2,3634135
06/02/2024,1686.75,1733,1673.95,1729.45,7694265
07/02/2024,1729,1729,1686.85,1693.75,4613877
08/02/2024,1698,1706.35,1682.8,1692.1,5919715
09/02/2024,1684.7,1692.9,1659.8,1669.35,4600004
12/02/2024,1670.35,1692.95,1670.35,1680.1,3555808
13/02/2024,1683,1689.1,1663.5,1684.55,2696481
14/02/2024,1660.2,1669.45,1635.5,1666.2,3768579
15/02/2024,1677,1687.75,1661.6,1676.35,4834391
16/02/2024,1689,1709,1687.95,1701.65,4880654
19/02/2024,1705,1711.5,1687.7,1699.75,3690993
20/02/2024,1685,1694.25,1668.75,1685.25,3706389
21/02/2024,1674,1674,1645.3,1655.55,4300508
22/02/2024,1665,1684.6,1644.4,1681.35,5841277
23/02/2024,1697,1698.45,1671.9,1676.85,5373072
26/02/2024,1674.95,1674.95,1645,1660.15,2782438
27/02/2024,1661,1671.1,1652.8,1663.6,5159088
28/02/2024,1670,1687.8,1662.05,1671.25,3188916
29/02/2024,1665,1682.25,1653.3,1673.9,7814722
01/03/2024,1669,1671.95,1651,1654.7,6387291
02/03/2024,1658.85,1665,1654.05,1656.3,292153
04/03/2024,1657.85,1664.45,1633.65,1637.2,4445156
05/03/2024,1634,1637.35,1602,1606.5,4596579
06/03/2024,1602.8,1620.15,1576,1617.55,6420684
07/03/2024,1616.6,1628.45,1604.2,1616.45,6348359
11/03/2024,1608.15,1613.8,1588,1600.6,6752895
12/03/2024,1600,1625,1597.65,1612.95,4614222
13/03/2024,1612.9,1624.5,1598.55,1611.4,5688997
14/03/2024,1614.4,1657.75,1608,1653.3,8803799
15/03/2024,1641.1,1645.8,1618.35,1634,11809997
18/03/2024,1630,1632.65,1598.85,1602.65,4958904
19/03/2024,1592.35,1599,1558,1561.45,6870411
